prediction;test_price
33.53;34.72
33.05;34.52
33.46;35.27
33.63;35.77
34.64;36.37
35.01;36.74
35.39;36.6
35.59;36.49
35.49;35.63
35.7;35.66
35.14;35.35
34.87;35.43
34.62;35.92
34.5;36.31
34.59;36.19
35.24;36.14
35.52;36.14
35.55;36.42
35.4;36.23
35.68;36.14
35.74;35.9
35.35;35.81
35.0;36.21
34.85;35.82
34.99;36.83
34.9;37.25
35.28;37.73
35.97;38.0
36.44;38.23
36.57;38.16
36.94;38.47
36.76;38.3
37.25;37.98
37.15;38.24
37.27;38.44
37.04;38.27
37.44;38.0
37.03;38.19
37.09;38.03
37.09;38.34
37.15;38.6
37.32;38.66
37.74;39.03
37.9;39.0
38.34;39.31
38.41;38.67
38.45;38.44
37.9;38.69
37.51;38.89
37.9;38.98
37.91;40.52
38.03;40.03
38.93;40.02
38.95;39.76
38.9;39.99
38.63;39.81
38.7;39.84
38.68;39.86
38.54;40.19
38.61;40.86
38.41;40.65
39.09;40.06
39.16;39.6
38.76;40.31
38.39;40.36
38.82;39.86
38.74;39.52
38.42;39.66
38.02;38.77
37.95;37.74
37.36;38.09
36.77;38.81
36.77;38.53
37.43;38.35
37.6;39.29
37.63;39.12
38.25;38.74
38.25;38.99
38.2;38.68
38.2;38.83
37.73;39.31
37.85;39.92
37.99;39.91
38.53;39.69
38.58;40.32
38.76;40.09
39.49;40.33
39.33;39.52
39.39;40.34
38.76;40.79
38.72;41.45
39.03;41.69
39.6;41.95
39.81;41.59
40.23;41.44
40.52;41.5
40.44;40.81
40.22;40.33
39.81;40.87
39.46;40.87
39.24;40.7
39.46;40.91
39.44;40.97
39.42;41.87
39.46;41.61
40.12;42.08
40.29;40.88
40.28;40.89
39.62;41.28
39.68;41.92
40.02;42.01
40.62;42.57
40.77;42.17
41.15;42.7
41.34;42.56
41.89;43.44
42.09;43.35
42.52;43.36
42.57;43.74
42.29;43.94
42.36;43.64
42.51;43.7
42.6;42.99
42.58;43.55
42.17;44.07
42.48;44.03
43.16;44.65
43.14;44.85
43.6;44.73
43.79;44.29
43.64;44.23
43.33;44.19
43.18;43.6
43.28;43.52
42.82;43.65
42.47;44.37
42.47;44.06
42.81;45.43
43.0;45.43
43.91;45.1
44.17;44.73
43.79;44.17
43.38;44.34
42.89;44.47
42.75;45.77
42.82;45.98
43.7;45.85
44.04;45.24
44.05;44.95
43.55;45.09
43.53;45.82
43.57;45.71
44.01;45.86
43.93;46.48
44.05;46.0
44.59;45.71
44.34;45.9
44.01;45.75
43.78;45.93
43.42;46.26
